Username,Comment,Duplicate_Count,Fake_Score,Fake_Detection
@nareshnareshkumar6590,శ్రీ హరి అన్నా లాంచి మంచి  నటుడు దరకడం చాలా కష్టం,1,2,Suspicious
@balramkrishna7487,Bramhanandam Was peak 😂,1,0,Real
@KiranKumar-qc8qn,బ్రహ్మీ డైలాగ్ సూపర్ నేనేమన్న గవర్నర్ ఉద్యోగం చేస్తున్నానా అండి రిజైన్ చేయటానికి....... 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,1,2,Suspicious
@naveenk4720,really miss u Sri Hari garu,1,0,Real
@chowdary4128,Manchu's best movie in his entire cine career....,1,0,Real
@GANESHGANESH-ih7xy,Super movie,3,3,Suspicious
@ganeshachanta4598,"Sir how can I get licence to upload movies like you??

Where i can get licence?

Please tell me sir.It's a very humble request sir.please reply.",1,0,Real
@ganeshkumar-mk1ui,One man show by one and only Srihari,1,0,Real
@NuzvidTECHEXP,What a Hilarious Comedy 🤣🤣😆😆🤣🤣😆👌👌👌,1,2,Suspicious
@nagarajuj3335,Super,16,3,Suspicious
@santhu__dhfm1867,గలిస్ న కొడుకులని క్షమించుకొదనికి ఏమన్నా దుక్నం పెట్కున్నమా 😂😂,1,2,Suspicious
@venkatasubbaraopinninty3047,"Srihari , Brahmi leka pothe eee cinemaa okka roju kooda aadadu. All credit goes to them only.",1,0,Real
@thatsme93,YE HERO HAI.??? BHEN KAA LAUDAAAA LAAGEY HAI YE MANNEY...,1,0,Real
@ganeshkumar-mk1ui,Srihari one man show,1,0,Real
@thummalavgms5113,God of Telangana cinema 📽️,1,0,Real
@maggidiraju7979,Ambar pet shankar anna story kada,1,0,Real
@hemanthm1420,Manchu vishnu unexpected hit movie.😂😂😂,1,0,Real
@kiransrihari1052,Hyderabad local dada la pakka telangana slang mathrame kadhu aa behaviour ni kuda perfect ga chesina srihari garu we miss you....,1,0,Real
@kiransrihari1052,"Venky, dubai Seenu, ready,dhee,king,baadshah  we want that sreenu vaitla back.
Break ivvadiniki ready ga unnam....",1,2,Suspicious
@kiransrihari1052,28:25 .....that was hilarious iam laughing so hard... 🤣🤣🤣,1,2,Suspicious
@kiransrihari1052,38:58  that expression 🤣🤣🤣,1,0,Real
@kiransrihari1052,Through out these scenes.. notice the fear of brahmi hillarious.. even when he is quite..😂😂,2,2,Suspicious
@kiransrihari1052,"Anyone can play the ROLE of MANCHU VISHNU, But SRIHARI'S ROLE no can PULL OFF except for HIM.",2,2,Suspicious
@kiransrihari1052,Natural actor..... Memorable actor. ... Srihari... We miss U ☺,2,4,Suspicious
@onetouch1847,"https://www.youtube.com/results?search_query=onetouch18
మీ కంటెంట్ చాలా బాగుంది. ఇలాంటి కంటెంట్ ప్ర‌జ‌ల‌కు బాగా ఉప‌యోగ‌ప‌డుతుంది.",1,5,Fake
@sreenug6653,.llld0hf,1,1,Real
@LEARNEXCELWITHTEJA,This combo ✌️✌️✌️✌️,1,0,Real
@shravp769,Ee movie manchi actors Ki icchi unte blockbuster,1,0,Real
@nandirajuabhi2805,23:01,1,1,Real
@chintalapudipardhasaradhi_1509,Snow anna acting very nice,1,0,Real
@bnaveen1217,e,1,1,Real
@saikrishna6344,One & only legend Srihari garu👌👌👌🔥🔥,1,0,Real
@mgh-qc5sp,Super 🙏,1,1,Real
@ramadevipulukuri6550,90huu7,1,1,Real
@ramadevipulukuri6550,NAKKA uy55555t0lķ3uy5,1,1,Real
@reddy5405,Srihari and brahmanandam valle movie success ayindi..,1,0,Real
@321sundar,snow anna,1,1,Real
@ajaypagadala783,😂😂😂😂,1,1,Real
@srinivasreddykarri7145,Snow raja,1,1,Real
@guruprasadmolaka5711,ముందుగా పానిందియా స్టార్ కావలసి న వాడు మంచు.,1,2,Suspicious
@k.vishakhk.vishakh884,X📞📞📞📞📞📞📞📞📞📞📞📞📞,1,3,Suspicious
@saikrishna1992,23:03🤣🤣,1,1,Real
